# Raw accepted GK 1.407 interaction universe from read-only snapshot probe 0.1.2.
# Deliberately broader than production reminder classification.
# Player runtime evidence: LogOutput(20260919-152112).log.
kind	npc	node	index	id	value1	value2
answer	npc_actress	30	0	actress_2a_2		
answer	npc_actress	30	1	actress_2b		
answer	npc_actress	30	2	@actress_snake_back		
answer	npc_actress	30	3	@actress_father		
answer	npc_actress	30	4	@actress_money_back		
answer	npc_actress	30	5	@actress_parfume_ready		
answer	npc_actress	30	6	@actress_story_gold		
answer	npc_actress	30	7	@actress_lute_done		
answer	npc_actress	30	8	@actress_title		
answer	npc_actress	30	9	@actress_ song_done		
answer	npc_actress	30	10	@actress_marketing		
answer	npc_actress	30	11	@actress_ jewelry		
answer	npc_actress	30	12	@tr_quest_8_singing_charm_1		
answer	npc_actress	30	13	@tr_quest_8_singing_charm_8		
answer	npc_actress	30	14	@actress_trade		
answer	npc_actress	30	15	@souls_s_s31_ask		
answer	npc_actress	30	16	Leave		
answer	npc_actress	67	0	@actress_2b_1a		
answer	npc_actress	67	1	@actress_2b_1b		
answer	npc_actress	67	2	actress_no_question		
answer	npc_actress	968	0	tr_quest_8_singing_charm_7a		
answer	npc_actress	968	1	tr_quest_8_singing_charm_7b		
answer	npc_actress	968	2	tr_quest_8_singing_charm_7c		
answer	npc_astrologer	44	0	astrologer_2a		
answer	npc_astrologer	44	1	astrologer_2b		
answer	npc_astrologer	44	2	@astrologer_diary		
answer	npc_astrologer	44	3	@astrologer_acid		
answer	npc_astrologer	44	4	@astrologer_tools		
answer	npc_astrologer	44	5	@astrologer_necronamicon		
answer	npc_astrologer	44	6	@astrologer_charm		
answer	npc_astrologer	44	7	@astrologer_charm_no		
answer	npc_astrologer	44	8	@astrologer_charm_know		
answer	npc_astrologer	44	9	@astrolog_expedition		
answer	npc_astrologer	44	10	@astrologer_silver		
answer	npc_astrologer	44	11	@astrologer_gold		
answer	npc_astrologer	44	12	@astrologer_title		
answer	npc_astrologer	44	13	@astrologer_fix_mill		
answer	npc_astrologer	44	14	@astrologer_fix		
answer	npc_astrologer	44	15	@astrologer_last_0		
answer	npc_astrologer	44	16	@astrologer_items		
answer	npc_astrologer	44	17	@tr_quest_13_research_1		
answer	npc_astrologer	44	18	@refugees_s_ev_7_1_1		
answer	npc_astrologer	44	19	@astrologer_trade		
answer	npc_astrologer	44	20	@souls_s_s30_ask		
answer	npc_astrologer	44	21	Leave		
answer	npc_astrologer	67	0	@astrologer_2a_1a_1		
answer	npc_astrologer	67	1	@astrologer_2a_1b_1		
answer	npc_astrologer	67	2	Back		
answer	npc_astrologer	104	0	astrologer_2a_1b_6a		
answer	npc_astrologer	104	1	astrologer_2a_1b_6b		
answer	npc_astrologer	104	2	astrologer_2a_1b_6c		
answer	npc_astrologer	104	3	Back		
answer	npc_astrologer	219	0	astrologer_diary_9a		
answer	npc_astrologer	219	1	astrologer_diary_9b		
answer	npc_astrologer	507	0	@astrologer_about_acid		
answer	npc_astrologer	507	1	@astrologer_about_tools		
answer	npc_astrologer	1384	0	tr_quest_13_research_2		
answer	npc_astrologer	1384	1	Leave		
answer	npc_bishop	75	0	bishop_2_1a		
answer	npc_bishop	75	1	bishop_2_1b		
answer	npc_bishop	75	2	bishop_2_1c		
answer	npc_bishop	75	3	bishop_2_1e		
answer	npc_bishop	75	4	@bishop_4_0		
answer	npc_bishop	75	5	@bishop_5_1		
answer	npc_bishop	75	6	@bishop_trade		
answer	npc_bishop	75	7	@bishop_6a		
answer	npc_bishop	75	8	@souls_s_s15_ask		
answer	npc_bishop	75	9	bishop_2_1d		
answer	npc_bishop	132	0	bishop_2_1a_6a		
answer	npc_bishop	132	1	bishop_2_1a_6b		
answer	npc_bishop	161	0	bishop_2_1e_4a		
answer	npc_bishop	161	1	bishop_2_1e_4b		
answer	npc_bishop	161	2	bishop_2_1e_4c		
answer	npc_bishop	679	0	@bishop_6b		
answer	npc_bishop	679	1	@bishop_6c		
answer	npc_bishop	679	2	@bishop_6d		
answer	npc_bishop	679	3	@bishop_6a		
answer	npc_bishop	679	4	@bishop_trade		
answer	npc_bishop	679	5	@souls_s_s15_ask		
answer	npc_bishop	679	6	Leave		
answer	npc_bishop	1030	0	about_cathedral		
answer	npc_bishop	1030	1	@bishop_cathidral_cross		
answer	npc_bishop	1030	2	@bishop_cathidral_skull		
answer	npc_bishop	1030	3	@bishop_cathidral_80		
answer	npc_bishop	1030	4	@bishop_aristocrat		
answer	npc_bishop	1030	5	@bishop_invitation		
answer	npc_bishop	1030	6	@bishop_magic_item		
answer	npc_bishop	1030	7	@bishop_final_ceremony		
answer	npc_bishop	1030	8	@bishop_magic_100		
answer	npc_bishop	1030	9	@souls_s_s15_ask		
answer	npc_bishop	1030	10	Trade		
answer	npc_bishop	1030	11	Leave		
answer	npc_bishop	1068	0	@bishop_get_citezen		
answer	npc_bishop	1068	1	@bishop_cathidral		
answer	npc_bishop	1068	2	@bishop_town_cathidral		
answer	npc_bishop	1068	3	@bishop_statue_ready		
answer	npc_bishop	1068	4	Back		
answer	npc_cultist	106	0	snake_1a		
answer	npc_cultist	106	1	snake_1b		
answer	npc_cultist	106	2	@snake_1с		
answer	npc_cultist	106	3	@snake_give_key		
answer	npc_cultist	106	4	@give_blod_bucket		
answer	npc_cultist	106	5	@give_blod_nails		
answer	npc_cultist	106	6	@snake_buisnes		
answer	npc_cultist	106	7	@snake_meat_1		
answer	npc_cultist	106	8	@snake_pass_1		
answer	npc_cultist	106	9	@snake_instrument		
answer	npc_cultist	106	10	@snake_instrument_ready		
answer	npc_cultist	106	11	@snake_about_nacklase		
