# Complete accepted GK 1.407 owner-task route snapshot from read-only probe 0.1.2.
# Player runtime evidence: LogOutput(20260919-152112).log.
npc	task	kind	answer	completeNode	trace
npc_actress	actress_alisa	SELECTABLE	@actress_lute_done	578	30
npc_actress	actress_aristocrat	SELECTABLE	@actress_title	655	30
npc_actress	actress_faith	SELECTABLE	actress_2a_2	57	30
npc_actress	actress_money	SELECTABLE	@actress_snake_back	140	30
npc_actress	actress_necklace	SELECTABLE	@actress_money_back	387	30
npc_actress	actress_parfume	SELECTABLE	@actress_parfume_ready	425	30
npc_actress	actress_song	SELECTABLE	@actress_ song_done	778	30
npc_actress	actress_story	SELECTABLE	@actress_story_gold	495	30
npc_actress	dlc_souls_s29_2	SELECTABLE	@souls_s_s31_ask	1209	30
npc_actress	dlc_stories_persuade_charm	SELECTABLE	tr_quest_8_singing_charm_7a	977	968
npc_astrologer	astrologer_acid	SELECTABLE	@astrologer_acid	268	44
npc_astrologer	astrologer_aristocrat	SELECTABLE	@astrologer_title	1076	44
npc_astrologer	astrologer_baron	SELECTABLE	@astrologer_charm	724	44
npc_astrologer	astrologer_daghter	SELECTABLE	@astrologer_charm_no	760	44
npc_astrologer	astrologer_diary	SELECTABLE	@astrologer_diary	201	44
npc_astrologer	astrologer_find_help	SELECTABLE	@astrologer_charm_know	784	44
npc_astrologer	astrologer_gbook	SELECTABLE	@astrologer_gold	963	44
npc_astrologer	astrologer_help	SELECTABLE	@astrologer_charm_know	788	44
npc_astrologer	astrologer_sbook	SELECTABLE	tr_quest_13_research_2	1405	1384
npc_astrologer	astrologer_sbook	SELECTABLE	@astrologer_silver	884	44
npc_astrologer	astrologer_skull	SELECTABLE	astrologer_2b	187	44
npc_astrologer	astrologer_tools	SELECTABLE	@astrologer_tools	284	44
npc_astrologer	dlc_souls_s29_1	SELECTABLE	@souls_s_s30_ask	1608	44
npc_astrologer	s_ev_7_1_astrologer	SELECTABLE	@refugees_s_ev_7_1_1	1467	44
npc_bishop	bishop_20_qual	SELECTABLE	@bishop_6c	724	679
npc_bishop	bishop_30_qual	SELECTABLE	@bishop_6b	698	679
npc_bishop	bishop_5_qual	SELECTABLE	bishop_2_1c	207	75
npc_bishop	bishop_aristocrat 	SELECTABLE	@bishop_aristocrat	1558	1030
npc_bishop	bishop_bowls	SELECTABLE	@bishop_5_1	258	75
npc_bishop	bishop_fish	SELECTABLE	@bishop_6a	300	75
npc_bishop	bishop_fish	SELECTABLE	@bishop_6a	740	679
npc_bishop	bishop_invitation_2	SELECTABLE	@bishop_invitation	1620	1030
npc_bishop	bishop_last_cross	SELECTABLE	@bishop_cathidral_cross	1275	1030
npc_bishop	bishop_last_skull	SELECTABLE	@bishop_cathidral_skull	1334	1030
npc_bishop	bishop_rcitezen	SELECTABLE	@bishop_get_citezen	1100	1068
npc_bishop	bishop_statue	SELECTABLE	@bishop_statue_ready	1406	1068
npc_bishop	dlc_souls_s12_1	SELECTABLE	@souls_s_s15_ask	1923	75
npc_cultist	dlc_souls_s29_3	SELECTABLE	@souls_s_s33_ask	2456	106
npc_cultist	dlc_stories_booze_after_week	SELECTABLE	@tr_quest_7_booze_after_week_1	2148	106
npc_cultist	dlc_stories_return_cultist	SELECTABLE	@tr_quest_12_after_first_rat_race_1	2331	106
npc_cultist	dlc_stories_steal_amulet	SELECTABLE	@tr_quest_12_snake_asking_1	2237	106
npc_cultist	snake_aple	SELECTABLE	@snake_aple_get	1757	106
npc_cultist	snake_back	EVENT_OR_UNRESOLVED	<none>	1367	<none>
npc_cultist	snake_blood	SELECTABLE	@give_blod_bucket	673	106
npc_cultist	snake_key	SELECTABLE	@snake_give_key	59	106
npc_cultist	snake_necronomicon	SELECTABLE	@snake_necronomicon	1016	106
npc_cultist	snake_stars	SELECTABLE	@snake_help_done	1182	985
npc_cultist	snake_sword	SELECTABLE	@snake_sword	1225	106
npc_cultist	snake_trap	SELECTABLE	snake_stone_ready	1638	1520
